Price,Adj Close,Close,High,Low,Open,Volume,Ticker,5-Day MA,10-Day MA,Daily Return (%)
2023-10-19,81.14048767089844,90.3270034790039,90.3270034790039,87.18000030517578,87.95999908447266,500,NVDQ,,,
2023-10-20,84.21266174316406,93.74700164794922,93.98999786376953,89.35800170898438,91.48500061035156,1633,NVDQ,,,3.786241142982538
2023-10-23,77.57783508300781,86.36100006103516,94.7699966430664,85.37999725341797,94.5,7433,NVDQ,,,-7.878653671133851
2023-10-24,75.00691223144531,83.4990005493164,87.0,83.4990005493164,87.0,1233,NVDQ,,,-3.313995333189801
2023-10-25,81.533935546875,90.76499938964844,91.35900115966797,84.36000061035156,84.36000061035156,967,NVDQ,88.93980102539062,,8.701899175476434
2023-10-26,87.17704010009766,97.0469970703125,97.94999694824219,88.88999938964844,90.72000122070312,6100,NVDQ,90.28379974365234,,6.921167545758289
2023-10-27,86.65692901611328,96.46800231933594,97.86000061035156,93.33000183105469,93.33000183105469,1900,NVDQ,90.82799987792968,,-0.5966127427488255
2023-10-30,83.48773956298828,92.94000244140625,95.45999908447266,91.05000305175781,92.87999725341797,1733,NVDQ,92.1438003540039,,-3.657171075494059
2023-10-31,85.28253936767578,94.93800354003906,101.61000061035156,94.58999633789062,96.9000015258789,12667,NVDQ,94.43160095214844,,2.1497751733893455
2023-11-01,78.76628112792969,87.68399810791016,93.75,87.68399810791016,93.75,5633,NVDQ,93.81540069580078,91.3776008605957,-7.640781522301143
2023-11-02,74.4571533203125,82.88700103759766,85.6500015258789,82.16999816894531,83.94000244140625,6433,NVDQ,90.98340148925782,90.63360061645508,-5.470778219315431
2023-11-03,69.5281982421875,77.4000015258789,81.4800033569336,76.47000122070312,81.4800033569336,5433,NVDQ,87.1698013305664,88.99890060424805,-6.619855276498465
2023-11-06,67.25370788574219,74.86799621582031,76.5,74.5199966430664,74.5199966430664,3667,NVDQ,83.55540008544922,87.84960021972657,-3.271324625506644
2023-11-07,66.61502075195312,74.15699768066406,75.33000183105469,73.47000122070312,75.20999908447266,3800,NVDQ,79.39919891357422,86.91539993286133,-0.949669513134388
